"landscape_id","site_id","status","period","quadrat_id","canopy_cover","soil_moisture","species_richness","native_cover","source_type"
5,"L5_R","restored","before","L5_R_Q4",42.4,24.8,13,54.2,"synthetic_teaching_data"
5,"L5_R","restored","before","L5_R_Q5",37.1,25.8,10,49.9,"synthetic_teaching_data"
5,"L5_R","restored","after","L5_R_Q1",49.5,24.8,16,60.4,"synthetic_teaching_data"
5,"L5_R","restored","after","L5_R_Q2",51.9,33.1,16,57.3,"synthetic_teaching_data"
5,"L5_R","restored","after","L5_R_Q3",49.4,22.8,17,71.3,"synthetic_teaching_data"
5,"L5_R","restored","after","L5_R_Q4",49.5,26.3,15,53.6,"synthetic_teaching_data"
5,"L5_R","restored","after","L5_R_Q5",45.6,36.2,20,67,"synthetic_teaching_data"
5,"L5_C","control","before","L5_C_Q1",37.2,12.9,14,53.8,"synthetic_teaching_data"
5,"L5_C","control","before","L5_C_Q2",40.8,24.1,10,50.4,"synthetic_teaching_data"
5,"L5_C","control","before","L5_C_Q3",36.3,27.9,12,44.2,"synthetic_teaching_data"
5,"L5_C","control","before","L5_C_Q4",40.5,27.2,9,54.1,"synthetic_teaching_data"
5,"L5_C","control","before","L5_C_Q5",38.4,25.1,8,52.3,"synthetic_teaching_data"
5,"L5_C","control","after","L5_C_Q1",42,26.6,15,55.3,"synthetic_teaching_data"
5,"L5_C","control","after","L5_C_Q2",42,31.9,13,54.5,"synthetic_teaching_data"
5,"L5_C","control","after","L5_C_Q3",40.8,23.5,10,54.9,"synthetic_teaching_data"
5,"L5_C","control","after","L5_C_Q4",38.2,25,8,44.5,"synthetic_teaching_data"
5,"L5_C","control","after","L5_C_Q5",44.8,23.2,17,48.9,"synthetic_teaching_data"
6,"L6_R","restored","before","L6_R_Q1",35.4,23.4,11,46,"synthetic_teaching_data"
6,"L6_R","restored","before","L6_R_Q2",42,28.3,14,51.8,"synthetic_teaching_data"
6,"L6_R","restored","before","L6_R_Q3",39.5,33.2,14,53.1,"synthetic_teaching_data"
6,"L6_R","restored","before","L6_R_Q4",42.6,24.5,11,60,"synthetic_teaching_data"
6,"L6_R","restored","before","L6_R_Q5",37.8,25.9,21,46.8,"synthetic_teaching_data"
6,"L6_R","restored","after","L6_R_Q1",45.7,33,19,61.2,"synthetic_teaching_data"
6,"L6_R","restored","after","L6_R_Q2",48.5,30.5,17,69,"synthetic_teaching_data"
6,"L6_R","restored","after","L6_R_Q3",57.4,32.2,18,63.5,"synthetic_teaching_data"
6,"L6_R","restored","after","L6_R_Q4",51.5,35.7,20,69.7,"synthetic_teaching_data"
6,"L6_R","restored","after","L6_R_Q5",54.5,26.8,20,58.7,"synthetic_teaching_data"
6,"L6_C","control","before","L6_C_Q1",41.3,33.1,13,52.5,"synthetic_teaching_data"
6,"L6_C","control","before","L6_C_Q2",42.8,27.5,12,55.9,"synthetic_teaching_data"
6,"L6_C","control","before","L6_C_Q3",39.5,18.6,11,54.2,"synthetic_teaching_data"
6,"L6_C","control","before","L6_C_Q4",43.7,28.9,11,45.9,"synthetic_teaching_data"
6,"L6_C","control","before","L6_C_Q5",40.2,19.4,16,50.3,"synthetic_teaching_data"
6,"L6_C","control","after","L6_C_Q1",43.2,32.6,13,51.9,"synthetic_teaching_data"
6,"L6_C","control","after","L6_C_Q2",48.4,30,12,52.4,"synthetic_teaching_data"
6,"L6_C","control","after","L6_C_Q3",40.1,26.8,12,46.1,"synthetic_teaching_data"
6,"L6_C","control","after","L6_C_Q4",44.4,23.1,16,55,"synthetic_teaching_data"
6,"L6_C","control","after","L6_C_Q5",44.3,30.8,16,51.7,"synthetic_teaching_data"
